Start time,Category,Name,Distance,Time elapsed,Avg. speed,Avg. pace,Avg. HR,Norm Power,Intensity Factor,Avg. power,Avg. grade,Ascending,Descending,TRIMP,Training Stress Score,ATL Power,CTL Power,TSB (Pre),TSB (Post),Avg. cadence
1/31/2016 11:58:04 AM,Running/Walking,,7.82,02:53:23,2.7,00:22:11,,156,0.68,104,-0.1%,2071,-2091,0,133,53,64,18,11,45.1
1/28/2016 3:58:05 PM,Running/Walking,,6.87,02:42:03,2.5,00:23:34,,122,0.53,88,-0.7%,1164,-1293,0,76,55,66,14,11,46.0
1/28/2016 8:40:05 AM,Running/Walking,,1.56,00:30:22,3.1,00:19:29,,149,0.65,122,0.4%,405,-427,0,21,55,66,14,11
1/27/2016 10:29:09 AM,Running/Walking,,1.57,00:25:23,3.7,00:16:09,,163,0.71,142,-0.5%,367,-376,0,21,51,65,12,14
1/26/2016 6:45:07 PM,Running/Walking,,1.53,00:23:39,3.9,00:15:25,,167,0.73,148,0.1%,360,-368,0,21,54,66,14,12
1/26/2016 9:24:58 AM,Running/Walking,,4.91,01:43:06,2.9,00:20:59,,131,0.57,100,-0.6%,1104,-1107,0,56,54,66,14,12,46.9
1/25/2016 12:41:58 PM,Running/Walking,,1.41,00:25:13,3.4,00:17:49,,154,0.67,131,-0.4%,309,-345,0,19,51,66,12,14
1/24/2016 12:12:42 PM,Running/Walking,,4.11,01:09:39,3.5,00:16:57,,153,0.66,129,0.5%,759,-770,0,51,54,67,12,12
1/23/2016 2:04:32 PM,Running/Walking,,7.31,01:15:40,5.8,00:10:20,,249,1.08,217,0.8%,1068,-1052,0,147,55,67,20,12,77.5
1/21/2016 10:49:58 AM,Running/Walking,,3.41,01:05:24,3.1,00:19:09,,136,0.59,107,0.3%,725,-711,0,38,50,67,16,17,52.5
1/20/2016 10:33:40 AM,Running/Walking,,3.50,01:10:14,3.0,00:20:04,,142,0.62,108,-0.9%,732,-736,0,45,51,67,16,16,50.3
1/18/2016 3:43:19 PM,Running/Walking,,3.37,00:35:49,5.6,00:10:38,,247,1.07,202,0.5%,570,-563,0,69,57,69,13,12,76.9
1/17/2016 3:24:26 PM,Running/Walking,,5.37,01:01:36,5.2,00:11:28,,241,1.05,206,-0.1%,689,-845,0,113,56,69,18,13,77.8
1/15/2016 3:22:03 PM,Running/Walking,,3.43,01:12:20,2.8,00:21:04,,131,0.57,95,0.1%,747,-770,0,39,55,70,13,14,48.6
1/14/2016 9:56:14 AM,Running/Walking,,7.48,02:23:21,3.1,00:19:09,,132,0.57,108,-0.2%,1300,-1293,0,79,57,70,15,13,51.1
1/12/2016 10:29:46 AM,Running/Walking,,6.97,02:06:27,3.3,00:18:08,,138,0.60,114,-0.2%,1243,-1200,0,76,60,72,13,11,53.2
1/11/2016 12:31:26 PM,Running/Walking,,3.45,01:15:44,2.7,00:21:58,,118,0.51,92,-0.8%,740,-762,0,33,59,72,11,13,48.2
1/9/2016 1:09:29 PM,Running/Walking,,3.11,00:22:30,8.3,00:07:14,,328,1.43,325,0.0%,,,0,76,67,74,17,7,88.6
1/9/2016 12:42:49 PM,Running/Walking,,3.16,00:22:10,8.6,00:07:00,,345,1.50,340,0.0%,,,0,83,67,74,17,7,87.5
1/9/2016 11:41:28 AM,Running/Walking,,3.24,00:32:47,5.9,00:10:07,,209,0.91,203,0.0%,,,0,45,67,74,17,7,82.8
1/6/2016 2:30:38 PM,Running/Walking,,6.96,01:35:18,4.4,00:13:41,,208,0.91,156,0.0%,1043,-1062,0,130,65,74,15,9,62.5
12/30/2015 8:27:49 AM,Running/Walking,,9.23,01:09:16,8.0,00:07:30,,320,1.39,312,0.0%,,,0,223,104,83,-12,-21,89.8
12/29/2015 12:42:20 PM,Running/Walking,,4.95,00:38:37,7.7,00:07:47,,309,1.34,300,0.0%,,,0,116,92,80,-10,-12,87.8
12/27/2015 3:57:57 PM,Running/Walking,,16.64,02:11:41,7.6,00:07:54,,299,1.30,288,0.0%,,,0,371,98,81,4,-17,86.2
12/26/2015 4:13:28 PM,Running/Walking,,7.25,00:57:34,7.6,00:07:56,,302,1.31,291,0.0%,,,0,165,71,75,11,4,86.8
12/23/2015 12:24:11 PM,Running/Walking,,4.15,00:40:58,6.1,00:09:51,,264,1.15,228,0.4%,647,-673,0,90,74,76,3,2,82.2
12/19/2015 1:04:13 PM,Running/Walking,,3.13,00:22:41,8.3,00:07:14,,335,1.46,329,0.0%,,,0,80,96,80,-5,-16,90.2
12/19/2015 12:33:42 PM,Running/Walking,,3.18,00:22:41,8.4,00:07:07,,334,1.45,332,0.0%,,,0,80,96,80,-5,-16,87.8
12/19/2015 12:08:54 PM,Running/Walking,,3.17,00:21:30,8.8,00:06:47,,356,1.55,353,0.0%,,,0,86,96,80,-5,-16,89.7
12/18/2015 4:17:20 PM,Running/Walking,,4.22,00:49:17,5.1,00:11:40,,243,1.05,193,0.5%,709,-722,0,91,82,77,-4,-5,69.7
12/17/2015 1:31:09 PM,Running/Walking,,8.21,01:18:06,6.3,00:09:30,,272,1.18,242,0.4%,1100,-1087,0,182,81,77,4,-4,79.4
12/15/2015 12:01:15 PM,Running/Walking,,5.79,01:04:17,5.4,00:11:06,,242,1.05,206,0.1%,987,-960,0,119,78,76,2,-2,75.4
12/12/2015 12:04:16 PM,Running/Walking,,3.16,00:22:30,8.4,00:07:07,,338,1.47,330,0.0%,,,0,81,89,78,-5,-10,87.3
12/12/2015 11:40:02 AM,Running/Walking,,3.15,00:21:49,8.7,00:06:55,,348,1.51,344,0.0%,,,0,83,89,78,-5,-10,87.8
12/10/2015 2:29:32 PM,Running/Walking,,8.19,01:21:18,6.0,00:09:55,,268,1.16,234,0.2%,1074,-1087,0,184,89,78,-4,-11,79.0
12/8/2015 3:24:44 PM,Running/Walking,,4.22,00:42:43,5.9,00:10:07,,269,1.17,223,0.1%,692,-680,0,98,88,77,-10,-10,76.6
12/7/2015 4:49:53 PM,Running/Walking,,0.11,00:00:40,10.0,00:05:59,,,,199,0.3%,3,,0,0,87,77,-10,-10,71.2
12/7/2015 4:09:51 PM,Running/Walking,,3.60,00:39:05,5.5,00:10:50,,266,1.16,219,-0.2%,589,-589,0,87,87,77,-10,-10,75.8
12/6/2015 3:09:10 PM,Running/Walking,,8.36,01:41:43,4.9,00:12:09,,241,1.05,195,-0.4%,1533,-1520,0,186,87,77,-2,-10,74.5
12/5/2015 4:03:47 PM,Running/Walking,,1.40,00:27:40,3.0,00:19:48,,150,0.65,112,0.4%,370,-378,0,20,77,74,-7,-2
12/4/2015 3:56:38 PM,Running/Walking,,5.74,00:59:59,5.7,00:10:27,,254,1.11,223,-0.2%,965,-936,0,122,83,76,-4,-7,78.5
12/3/2015 4:00:33 PM,Running/Walking,,6.93,01:13:06,5.7,00:10:32,,241,1.05,211,0.4%,979,-975,0,133,79,75,0,-4,78.7
12/1/2015 4:12:09 PM,Running/Walking,,3.39,00:36:33,5.6,00:10:46,,252,1.10,210,0.3%,628,-602,0,73,80,75,-6,-6,77.1
11/30/2015 3:46:56 PM,Running/Walking,,3.38,00:36:13,5.6,00:10:42,,248,1.08,210,0.3%,579,-573,0,70,81,75,-7,-6,75.4
11/29/2015 2:51:21 PM,Running/Walking,,3.37,00:35:22,5.7,00:10:28,,266,1.16,217,0.7%,555,-558,0,79,82,75,-8,-7,76.7
11/28/2015 2:45:57 PM,Running/Walking,,3.17,00:22:15,8.5,00:07:01,,339,1.47,335,0.0%,,,0,81,83,75,-2,-8,89.2
11/28/2015 2:19:21 PM,Running/Walking,,3.12,00:22:46,8.2,00:07:17,,325,1.41,319,0.0%,,,0,76,83,75,-2,-8,89.9
11/27/2015 4:03:05 PM,Running/Walking,,1.45,00:30:50,2.8,00:21:14,,120,0.52,95,0.4%,430,-427,0,14,75,73,-7,-2,48.6
11/26/2015 12:57:48 PM,Running/Walking,,8.39,01:34:05,5.4,00:11:12,,256,1.11,206,-0.2%,1487,-1495,0,194,81,75,2,-7,75.0
11/23/2015 12:28:55 PM,Running/Walking,,2.99,00:31:54,5.6,00:10:40,,252,1.10,209,0.2%,495,-492,0,64,85,75,-12,-10,77.1
11/22/2015 12:57:48 PM,Running/Walking,,8.39,01:34:05,5.4,00:11:12,,256,1.11,206,-0.2%,1487,-1495,0,194,87,75,-4,-12,75.0
11/20/2015 4:00:33 PM,Running/Walking,,7.34,01:13:16,6.0,00:09:58,,268,1.16,231,0.3%,1016,-994,0,165,84,74,-4,-10,77.7
11/19/2015 4:00:42 PM,Running/Walking,,3.38,00:34:58,5.8,00:10:21,,267,1.16,218,0.3%,577,-568,0,79,76,72,-3,-4,75.9
11/17/2015 3:57:42 PM,Running/Walking,,3.00,00:33:40,5.4,00:11:12,,237,1.03,202,-0.4%,517,-498,0,60,83,74,-12,-10,76.9
11/16/2015 2:53:56 PM,Running/Walking,,6.93,01:16:35,5.4,00:11:02,,246,1.07,199,0.9%,996,-960,0,147,86,74,-7,-12,71.5
11/15/2015 2:53:33 PM,Running/Walking,,3.35,00:36:41,5.5,00:10:57,,246,1.07,204,1.0%,576,-565,0,70,80,73,-8,-7,73.6
11/14/2015 1:59:23 PM,Running/Walking,,3.16,00:22:25,8.5,00:07:05,,334,1.45,332,0.0%,,,0,79,81,73,4,-8,89.4
11/14/2015 12:23:59 PM,Running/Walking,,3.17,00:22:25,8.5,00:07:04,,336,1.46,333,0.0%,,,0,80,81,73,4,-8,90.2
11/14/2015 11:43:30 AM,Running/Walking,,3.17,00:23:25,8.1,00:07:23,,318,1.38,314,0.0%,,,0,75,81,73,4,-8,89.3
11/13/2015 3:32:15 PM,Running/Walking,,4.45,00:46:41,5.7,00:10:28,,259,1.12,216,0.2%,728,-750,0,98,65,69,7,4,77.8
11/11/2015 5:02:38 PM,Running/Walking,,3.39,00:36:53,5.5,00:10:52,,243,1.06,200,0.2%,568,-581,0,69,68,70,2,2,77.0
11/9/2015 3:25:13 PM,Running/Walking,,3.31,00:35:54,5.5,00:10:50,,244,1.06,210,0.3%,589,-562,0,67,75,72,-4,-4,79.0
11/8/2015 4:48:49 PM,Running/Walking,,2.97,00:32:36,5.5,00:10:57,,259,1.13,204,0.3%,502,-507,0,69,76,72,-5,-4,75.3
11/7/2015 12:17:09 PM,Running/Walking,Running,8.98,01:39:49.7600000,5.4,00:11:07,,246,1.07,,0.0%,1903,-1942,0,191,77,72,4,-5,77.0
